"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"201911_s_at",1.94733683111708,7.75962131660331,6.94158513842073,2.12497400931396e-10,4.30785887872602e-09,13.0923966640789
"239804_at",1.56830291832353,5.01861003306612,6.93839781335683,2.15945714152597e-10,4.37128171836107e-09,13.0766002135932
"205193_at",-1.69478067106844,6.03496032904959,-6.93747101635532,2.16958743924879e-10,4.3901625921883e-09,13.0720075640907
"218305_at",1.55212916528337,6.59087614808264,6.93333342909148,2.21538929558697e-10,4.47952698728616e-09,13.0515073346863
"203860_at",-2.10711282243439,6.4036881736281,-6.93303064075006,2.21877837127063e-10,4.48472116263296e-09,13.050007332818
"220192_x_at",3.6202298515017,7.97230815440496,6.93184559208004,2.23209185463127e-10,4.50829782607922e-09,13.0441369140078
"228155_at",-2.19674430627884,10.2928876402975,-6.92229136730446,2.34235492880272e-10,4.72054020391775e-09,12.9968233608857
"241391_at",1.62434020301697,4.66599201076033,6.92158817158025,2.35067991940893e-10,4.73382779350583e-09,12.9933421549564
"224932_at",-1.76185343173755,7.03250628738843,-6.92113996741086,2.35600137624246e-10,4.74279732128338e-09,12.9911233760541
"205117_at",-1.86532757861029,4.05578981145455,-6.91964420409324,2.37384668769948e-10,4.77344860794296e-09,12.9837192283327
"225656_at",2.03765737710464,6.09608033175207,6.91777659435338,2.39631605432345e-10,4.81508931533019e-09,12.9744753669579
"238295_at",1.81851854062896,7.42702385150413,6.91739151799876,2.40097502260048e-10,4.82267852170027e-09,12.9725695374145
"214705_at",2.0879472203914,5.26464421445455,6.91559571313349,2.42282068260202e-10,4.86298534586143e-09,12.9636822914681
"209238_at",1.8016039942319,5.3627940576281,6.91545404030912,2.4245524485131e-10,4.86467541733775e-09,12.962981209651
"226248_s_at",3.99520634385634,9.01968474313223,6.91295890350245,2.45525361435756e-10,4.92085745472873e-09,12.9506347841744
"223915_at",1.96094110583484,6.4854846441157,6.91261958004658,2.45945836783117e-10,4.9274784265727e-09,12.9489558919327
"224580_at",2.23074474052998,5.67956073938017,6.91174989577932,2.47026766517682e-10,4.94612416098071e-09,12.9446530601781
"243874_at",1.65308344455882,6.01285424946281,6.91172527831714,2.47057431799512e-10,4.94612416098071e-09,12.9445312666943
"226350_at",1.93294822871946,6.67827563656198,6.91163623819208,2.47168378014047e-10,4.94653406585579e-09,12.9440907473209
"222587_s_at",2.72060274145192,6.66613502243802,6.90851250859351,2.51091956850194e-10,5.02137993444928e-09,12.9286378602607
"209184_s_at",-2.20473559896267,6.34860085927273,-6.90765042698555,2.52185579689129e-10,5.04140642394996e-09,12.9243737234293
"1553994_at",-1.59723208282636,3.88841191214876,-6.90728595119665,2.5264936300755e-10,5.04883184299627e-09,12.9225709756036
"204146_at",2.17617759745079,5.90164351953719,6.90505876181683,2.55501763829785e-10,5.1021033372511e-09,12.911555870286
"227064_at",-1.70996486015045,7.63676556255372,-6.9037868911232,2.5714492957692e-10,5.13304089982406e-09,12.905266205908
"201584_s_at",1.50948356449265,8.86596917009917,6.90271154889884,2.58542342322101e-10,5.15905203155506e-09,12.899948801822
"224655_at",-1.63065381345192,8.44684662209917,-6.89909980952043,2.63290998855876e-10,5.24997642685814e-09,12.882091891165
"224730_at",1.69756314306901,5.40725046360331,6.89751920571197,2.65396180474767e-10,5.28809627093947e-09,12.8742784374904
"205780_at",2.41806931388235,6.79225844642149,6.89628522673722,2.67051257437587e-10,5.31719865273127e-09,12.8681789990693
"44040_at",1.64595590661482,5.68913990673554,6.89296837774126,2.71550734599573e-10,5.40088629109919e-09,12.8517864528588
"224476_s_at",-2.47173185925735,5.68072383308265,-6.89249569019315,2.72198031582202e-10,5.41179177336615e-09,12.8494506094047
"226535_at",3.75503735273473,7.26878786865289,6.89083360082303,2.74486227257605e-10,5.45530151774248e-09,12.8412377363482
"228320_x_at",1.7548692780905,6.08996356833884,6.88946769422126,2.76380895485273e-10,5.48697366036938e-09,12.8344890254499
"228549_at",1.68744052211425,6.75331230071074,6.887647029084,2.78926481486198e-10,5.53349251642159e-09,12.8254943228969
"226001_at",-2.04659736095871,7.24620549059504,-6.88713203484038,2.7965072314155e-10,5.54584812758949e-09,12.8229502619924
"203509_at",1.7388242302319,7.65232121804959,6.88505950417513,2.82584186681006e-10,5.59996027792099e-09,12.8127128291688
"230099_at",1.58286196740159,5.77772303685124,6.88412344661134,2.83919036565686e-10,5.62437439283655e-09,12.8080895309663
"228057_at",-1.63539761948925,3.09883547114876,-6.88392991405457,2.84195797192594e-10,5.62781789623508e-09,12.8071336846371
"226932_at",-2.47464410696267,5.88984940732231,-6.88102801138139,2.88377776708942e-10,5.70649835018509e-09,12.7928027367638
"226028_at",-1.52558948804808,7.12178702693388,-6.88071497355672,2.88832519757299e-10,5.71213587168624e-09,12.7912569653215
"202329_at",1.52215340820532,7.31887429006612,6.88003518031758,2.89822482790026e-10,5.7288663219612e-09,12.7879002707322
"217741_s_at",-1.51097407511143,8.68904820504132,-6.87935542874878,2.90815738903929e-10,5.74642230739874e-09,12.7845439245445
"37028_at",-1.50531883399831,4.58394367926446,-6.87872479286424,2.91740235679256e-10,5.76052632205248e-09,12.7814302198893
"241837_at",2.02279068192025,5.37603902439669,6.87826851780264,2.92410934598168e-10,5.77168514409922e-09,12.7791774817818
"236229_at",2.35587153390159,5.6493228995124,6.87341000949511,2.99647881288628e-10,5.90600140932073e-09,12.755193865094
"204167_at",-1.96612938940724,4.80617836047934,-6.87177064235978,3.02129512904269e-10,5.94633949533509e-09,12.747102914892
"202586_at",-1.57972328894401,4.05285202895868,-6.87102951765035,3.03258066224179e-10,5.9664033000385e-09,12.7434454331133
"218667_at",-1.79184482129412,6.53427526207438,-6.8704444829136,3.04151874477244e-10,5.98183587663428e-09,12.7405583820868
"243683_at",1.96366039049095,6.75068660639669,6.8701114684865,3.04661811968628e-10,5.98971038093663e-09,12.7389150575418
"212680_x_at",1.60619423658428,9.4677149696281,6.86941446643338,3.05731852608402e-10,6.00858700264714e-09,12.7354756763805
"221880_s_at",1.96848067133824,7.11574918264463,6.86832038548274,3.07418987517658e-10,6.03740414602297e-09,12.7300771990547
"206632_s_at",2.80386490792308,6.27179568657851,6.86810773347091,3.0774797558657e-10,6.0416949964796e-09,12.7290279623001
