"","PROBEID","SYMBOL","ENTREZID"
"1079","1554741_s_at","FGF7P6","387628"
"1080","1554741_s_at","FGF7","2252"
"1084","226402_at","CYP2U1","113612"
"1086","229497_at","ANKDD1A","348094"
"1087","208779_x_at","DDR1","780"
"1090","203769_s_at","STS","412"
"1091","242354_at","SPINT1-AS1","102724362"
"1092","227647_at","KCNE3","10008"
"1093","202071_at","SDC4","6385"
"1094","1552789_at","SEC62","7095"
"1095","202286_s_at","TACSTD2","4070"
"1097","1557116_at","APOL6","80830"
"1100","217492_s_at","PTENP1","11191"
"1102","202826_at","SPINT1","6692"
"1103","225150_s_at","RTKN","6242"
"1104","233595_at","USP34","9736"
"1107","208868_s_at","GABARAPL1","23710"
"1108","231963_at","ANKRD33B","651746"
"1109","221899_at","N4BP2L2","10443"
"1111","221521_s_at","GINS2","51659"
"1113","218024_at","MPC1","51660"
"1115","1559038_at","SEPTIN2","4735"
"1116","239243_at","ZNF638","27332"
"1118","201706_s_at","PEX19","5824"
"1119","230256_at","RUSC1-AS1","284618"
"1122","229292_at","EPB41L5","57669"
"1124","209147_s_at","PLPP1","8611"
"1126","213309_at","PLCL2","23228"
"1127","218901_at","PLSCR4","57088"
"1128","236359_at","SCN4B","6330"
"1130","202502_at","ACADM","34"
"1131","209075_s_at","ISCU","23479"
"1132","209550_at","NDN","4692"
"1133","242918_at","NASP","4678"
"1134","203123_s_at","SLC11A2","4891"
"1135","201340_s_at","ENC1","8507"
"1137","225822_at","TMEM125","128218"
"1138","1555878_at","RPS24","6229"
"1140","213909_at","LRRC15","131578"
"1144","205883_at","ZBTB16","7704"
"1146","229538_s_at","IQGAP3","128239"
"1147","201785_at","RNASE1","6035"
"1149","218849_s_at","PPP1R13L","10848"
"1150","223232_s_at","CGN","57530"
"1151","203680_at","PRKAR2B","5577"
"1153","1553986_at","RASEF","158158"
"1154","213317_at","CLIC5","53405"
"1155","204963_at","SSPN","8082"
"1158","204227_s_at","TK2","7084"
"1159","1552622_s_at","PMS2P5","5383"
"1160","1552622_s_at","POLR2J2","246721"
"1161","1552622_s_at","PMS2P13","441259"
"1162","1552622_s_at","POLR2J3","548644"
"1163","211026_s_at","MGLL","11343"
"1165","201931_at","ETFA","2108"
"1168","213715_s_at","KANK3","256949"
"1172","212713_at","MFAP4","4239"
"1174","241789_at","RBMS3","27303"
"1175","221973_at","LOC100506076","100506076"
"1176","221973_at","APPAT","100506123"
"1177","218807_at","VAV3","10451"
"1178","212492_s_at","KDM4B","23030"
"1181","55872_at","UCKL1","54963"
"1182","55872_at","ZNF512B","57473"
"1183","37892_at","COL11A1","1301"
"1186","226405_s_at","ARRDC1","92714"
"1187","235926_at","ANAPC5","51433"
"1188","232489_at","TRMT13","54482"
"1191","229063_s_at","CCDC107","203260"
"1193","203744_at","HMGB3","3149"
"1194","1554455_at","LINS1","55180"
"1198","222209_s_at","TMEM135","65084"
"1199","217734_s_at","WDR6","11180"
"1200","239179_at","CAMK2G","818"
"1201","228885_at","MAMDC2","256691"
"1203","209005_at","FBXL5","26234"
"1204","223082_at","SH3KBP1","30011"
"1207","215241_at","ANO3","63982"
"1210","219427_at","FAT4","79633"
"1211","213905_x_at","BGN","633"
"1212","201510_at","ELF3","1999"
"1219","228303_at","GALNT6","11226"
"1220","204093_at","CCNH","902"
"1221","222640_at","DNMT3A","1788"
"1222","208658_at","PDIA4","9601"
"1223","212793_at","DAAM2","23500"
"1224","236007_at","AKAP10","11216"
"1225","212115_at","JPT2","90861"
"1226","226670_s_at","PABPC1L","80336"
"1228","227350_at","HELLS","3070"
"1230","241470_x_at","RASSF9","9182"
"1232","232322_x_at","STARD10","10809"
"1233","203562_at","FEZ1","9638"
"1234","222156_x_at","CCPG1","9236"
"1235","222156_x_at","DNAAF4-CCPG1","100533483"
"1236","219981_x_at","ZNF587","84914"
"1237","202432_at","PPP3CB","5532"
"1238","224906_at","ANO6","196527"
"1239","206201_s_at","MEOX2","4223"
"1240","228438_at","MSC-AS1","100132891"
"1242","242888_at","PRRT3-AS1","100874032"
"1246","225531_at","CABLES1","91768"
"1247","202464_s_at","PFKFB3","5209"
"1248","201015_s_at","JUP","3728"
"1249","209160_at","AKR1C3","8644"
"1250","208781_x_at","SNX3","8724"
"1252","226455_at","CREB3L4","148327"
"1255","218999_at","TMEM140","55281"
"1256","237943_at","TMCC1","23023"
"1259","225548_at","SHROOM3","57619"
"1261","212521_s_at","PDE8A","5151"
"1264","221732_at","CANT1","124583"
"1265","223465_at","CERT1","10087"
"1268","202590_s_at","PDK2","5164"
"1269","45288_at","ABHD6","57406"
"1270","213388_at","PDE4DIP","9659"
"1271","213927_at","MAP3K9","4293"
"1272","229994_at","NFIA","4774"
"1273","212295_s_at","SLC7A1","6541"
"1277","200978_at","MDH1","4190"
"1278","222416_at","ALDH18A1","5832"
"1280","210564_x_at","CFLAR","8837"
"1283","203658_at","SLC25A20","788"
"1285","203216_s_at","MYO6","4646"
"1287","213693_s_at","MUC1","4582"
"1288","211776_s_at","EPB41L3","23136"
"1289","210150_s_at","LAMA5","3911"
"1291","212758_s_at","ZEB1","6935"
"1292","213308_at","SHANK2","22941"
"1294","210075_at","MARCHF2","51257"
"1295","200910_at","CCT3","7203"
"1296","238909_at","S100A10","6281"
"1298","212530_at","NEK7","140609"
"1300","238504_at","SDHAF4","135154"
"1302","205908_s_at","OMD","4958"
"1303","201425_at","ALDH2","217"
"1304","201561_s_at","CLSTN1","22883"
"1305","225777_at","SAPCD2","89958"
"1307","35148_at","TJP3","27134"
"1309","231835_at","PRXL2B","127281"
"1311","242146_at","SNRPA1","6627"
"1313","235333_at","B4GALT6","9331"
"1314","217871_s_at","MIF","4282"
"1315","202894_at","EPHB4","2050"
"1317","218009_s_at","PRC1","9055"
"1318","212400_at","EEIG1","399665"
"1319","226566_at","TRIM11","81559"
"1324","223019_at","NIBAN2","64855"
"1327","212486_s_at","FYN","2534"
"1328","232235_at","DSEL","92126"
"1331","222603_at","ERMP1","79956"
"1332","228249_at","IFTAP","119710"
"1334","231919_at","DBT","1629"
"1335","219523_s_at","TENM3","55714"
"1336","1560060_s_at","VPS37C","55048"
"1338","235005_at","DIS3L","115752"
"1343","228156_at","ZNF782","158431"
"1346","218151_x_at","SLC52A2","79581"
"1347","225305_at","SLC25A29","123096"
"1349","205932_s_at","MSX1","4487"
"1352","240214_at","RWDD1","51389"
"1353","240214_at","RSPH4A","345895"
"1354","205412_at","ACAT1","38"
"1355","204826_at","CCNF","899"
"1357","207175_at","ADIPOQ","9370"
"1358","203908_at","SLC4A4","8671"
"1360","224357_s_at","MS4A4A","51338"
"1362","200959_at","FUS","2521"
"1363","221556_at","CDC14B","8555"
"1365","207016_s_at","ALDH1A2","8854"
"1367","230077_at","SDHA","6389"
"1368","230077_at","SDHAP4","220729"
"1369","230077_at","SDHAP1","255812"
"1370","230077_at","SDHAP2","727956"
"1371","213085_s_at","WWC1","23286"
"1372","219298_at","ECHDC3","79746"
"1374","203422_at","POLD1","5424"
"1375","212631_at","STX7","8417"
"1376","202954_at","UBE2C","11065"
"1377","1552309_a_at","NEXN","91624"
"1378","209433_s_at","PPAT","5471"
"1381","1555274_a_at","SELENOI","85465"
"1383","217428_s_at","COL10A1","1300"
"1385","74694_s_at","RABEP2","79874"
"1387","202345_s_at","FABP5","2171"
"1388","233020_at","SEC22B","9554"
"1389","213281_at","JUN","3725"
"1390","227678_at","ATP23","91419"
"1392","230005_at","SVIP","258010"
"1393","243386_at","CASZ1","54897"
"1396","203505_at","ABCA1","19"
"1397","235095_at","BICDL2","146439"
"1398","212809_at","NFATC2IP","84901"
"1399","205158_at","RNASE4","6038"
"1400","222018_at","NACA","4666"
"1401","209869_at","ADRA2A","150"
"1402","236696_at","U2SURP","23350"
"1403","242550_at","EIF3B","8662"
"1407","214802_at","EXOC7","23265"
"1408","204170_s_at","CKS2","1164"
"1409","1552610_a_at","JAK1","3716"
"1410","223467_at","RASD1","51655"
"1411","203016_s_at","SSX2IP","117178"
"1412","222608_s_at","ANLN","54443"
"1413","1554966_a_at","FILIP1L","11259"
"1416","219689_at","SEMA3G","56920"
"1418","223307_at","CDCA3","83461"
"1419","203213_at","CDK1","983"
"1420","226803_at","CHMP4C","92421"
"1423","226552_at","IER5L","389792"
"1424","218677_at","S100A14","57402"
"1426","210835_s_at","CTBP2","1488"
"1427","202796_at","SYNPO","11346"
"1428","238880_at","GTF3A","2971"
"1429","201631_s_at","IER3","8870"
"1430","214030_at","CRYBG3","131544"
"1432","239433_at","LRRC8E","80131"
"1433","204424_s_at","LMO3","55885"
"1435","225224_at","NOL4L","140688"
"1438","200895_s_at","FKBP4","2288"
"1439","236075_s_at","ZNF232-AS1","101928000"
"1441","229765_at","ZNF207","7756"
"1442","230435_at","FAM228B","375190"
"1444","203554_x_at","PTTG1","9232"
"1445","239710_at","FIGN","55137"
"1447","220940_at","ANKRD36B","57730"
"1448","1568629_s_at","PIK3R2","5296"
"1449","201531_at","ZFP36","7538"
"1452","212111_at","STX12","23673"
"1454","207075_at","NLRP3","114548"
"1455","203261_at","DCTN6","10671"
"1457","231955_s_at","HIBADH","11112"
"1458","229899_s_at","ZFAS1","441951"
"1459","228325_at","SPIDR","23514"
"1462","222668_at","KCTD15","79047"
"1464","40665_at","FMO3","2328"
"1465","207196_s_at","TNIP1","10318"
"1468","210839_s_at","ENPP2","5168"
"1469","203766_s_at","LMOD1","25802"
"1471","238513_at","PRRG4","79056"
"1472","1556060_a_at","ZNF451","26036"
"1473","230424_at","NREP","9315"
"1475","218876_at","TPPP3","51673"
"1486","203329_at","PTPRM","5797"
"1487","232046_at","KIAA1217","56243"
"1490","202026_at","SDHD","6392"
"1491","227466_at","FAM200B","285550"
"1493","229754_at","TMEM44-AS1","100507297"
"1494","1554690_a_at","TACC1","6867"
"1502","204955_at","SRPX","8406"
"1503","223494_at","OGA","10724"
"1504","205116_at","LAMA2","3908"
"1505","228724_at","TTLL7","79739"
"1506","214110_s_at","LSP1P5","645166"
"1507","214110_s_at","LSP1P4","654342"
"1508","214110_s_at","LINC02802","100996732"
"1509","226380_at","PTPN21","11099"
"1510","202589_at","TYMS","7298"
"1511","202481_at","DHRS3","9249"
"1513","241428_x_at","TCEA2","6919"
"1516","203897_at","LYRM1","57149"
"1517","230449_x_at","VPS13B-DT","105375666"
"1519","238807_at","ANKRD46","157567"
"1520","238807_at","GAPDHP62","100128961"
"1521","202489_s_at","FXYD3","5349"
"1522","209431_s_at","PATZ1","23598"
"1523","203954_x_at","CLDN3","1365"
"1524","219643_at","LRP1B","53353"
"1527","209894_at","LEPR","3953"
"1528","1554565_x_at","SPPL3","121665"
"1530","209821_at","IL33","90865"
"1533","227727_at","MRGPRF","116535"
"1536","223484_at","COXFA4L3","84419"
"1537","211981_at","COL4A1","1282"
"1539","224414_s_at","CARD6","84674"
"1540","218145_at","TRIB3","57761"
"1541","203571_s_at","ADIRF","10974"
"1542","230097_at","GART","2618"
"1543","203878_s_at","MMP11","4320"
"1545","219787_s_at","ECT2","1894"
"1546","228160_at","LINC00667","339290"
"1551","227517_s_at","GAS5","60674"
"1552","209558_s_at","HIP1R","9026"
"1553","220948_s_at","ATP1A1","476"
"1555","228967_at","EIF1","10209"
"1556","209604_s_at","GATA3","2625"
"1558","234725_s_at","SEMA4B","10509"
"1559","208988_at","KDM2A","22992"
"1562","208848_at","ADH5","128"
"1563","239657_x_at","FOXO6","100132074"
"1566","232529_at","SP3","6670"
"1568","228108_at","PPM1L","151742"
"1569","228697_at","HINT3","135114"
"1570","201088_at","KPNA2","3838"
"1571","218946_at","NFU1","27247"
"1572","209090_s_at","SH3GLB1","51100"
"1577","32811_at","MYO1C","4641"
"1578","205774_at","F12","2161"
"1579","202528_at","GALE","2582"
"1580","57516_at","ZNF764","92595"
"1581","241745_at","EPM2A-DT","100507557"
"1582","236728_at","LNPEP","4012"
"1583","216211_at","TASOR2","54906"
"1584","230270_at","PRPF38B","55119"
"1585","229796_at","SIX4","51804"
"1586","202780_at","OXCT1","5019"
"1588","204641_at","NEK2","4751"
"1589","35666_at","SEMA3F","6405"
"1592","200844_s_at","PRDX6","9588"
"1595","203298_s_at","JARID2","3720"
"1596","212549_at","STAT5B","6777"
"1597","216894_x_at","CDKN1C","1028"
"1598","235476_at","TRIM59","286827"
"1599","227196_at","RHPN2","85415"
"1600","229665_at","CSTF3","1479"
"1601","224707_at","CYSTM1","84418"
"1603","225001_at","RAB3D","9545"
"1606","230561_s_at","KANSL1L","151050"
"1611","65718_at","ADGRA2","25960"
"1613","205107_s_at","EFNA4","1945"
"1614","218984_at","PUS7","54517"
"1617","226584_s_at","FAM110A","83541"
"1618","209529_at","PLPP2","8612"
"1619","236313_at","CDKN2B","1030"
"1621","239392_s_at","POGK","57645"
"1623","225412_at","TMEM87B","84910"
"1624","36936_at","GFUS","7264"
"1625","212647_at","RRAS","6237"
"1628","202283_at","SERPINF1","5176"
"1629","228058_at","ZG16B","124220"
"1631","35671_at","GTF3C1","2975"
"1632","229127_at","JAM2","58494"
"1633","205382_s_at","CFD","1675"
"1634","239587_at","TLR3","7098"
"1635","217943_s_at","MAP7D1","55700"
"1636","204865_at","CA3","761"
"1637","229638_at","IRX3","79191"
"1638","230925_at","APBB1IP","54518"
"1640","202982_s_at","ACOT2","10965"
"1641","202982_s_at","ACOT1","641371"
"1642","218451_at","CDCP1","64866"
"1643","208396_s_at","PDE1A","5136"
"1645","240890_at","CASP4LP","643733"
"1646","225240_s_at","MSI2","124540"
"1647","215599_at","GUSBP14","11039"
"1648","215599_at","GUSBP3","653188"
"1650","202181_at","SUSD6","9766"
"1651","238066_at","RBP7","116362"
"1652","201072_s_at","SMARCC1","6599"
"1653","202912_at","ADM","133"
"1657","203476_at","TPBG","7162"
"1659","202309_at","MTHFD1","4522"
"1661","235152_at","FAM111A-DT","101927204"
"1662","208829_at","TAPBP","6892"
"1664","224911_s_at","DCBLD2","131566"
"1665","235094_at","TPM4","7171"
"1668","205407_at","RECK","8434"
"1669","202113_s_at","SNX2","6643"
"1670","203917_at","CXADR","1525"
"1671","232216_at","YME1L1","10730"
"1673","208930_s_at","ILF3","3609"
"1674","225816_at","JADE1","79960"
"1679","201426_s_at","VIM","7431"
"1681","223269_at","POLR3GL","84265"
"1683","224151_s_at","AK3","50808"
"1684","200979_at","PDHA1","5160"
"1688","218168_s_at","COQ8A","56997"
"1689","205880_at","PRKD1","5587"
"1690","237107_at","PRKRA","8575"
"1694","222039_at","KIF18B","146909"
"1695","209179_s_at","MBOAT7","79143"
"1696","214033_at","ABCC6","368"
"1697","214033_at","ABCC6P1","653190"
"1698","214033_at","ABCC6P2","730013"
"1699","206363_at","MAF","4094"
"1700","205392_s_at","CCL14","6358"
"1701","205392_s_at","CCL15-CCL14","348249"
"1706","201563_at","SORD","6652"
"1707","203453_at","SCNN1A","6337"
"1708","227874_at","EMCN","51705"
"1710","227884_at","TAF15","8148"
"1712","201968_s_at","PGM1","5236"
"1713","221989_at","RPL10","6134"
"1714","213800_at","CFH","3075"
"1715","202338_at","TK1","7083"
"1716","225947_at","MYO19","80179"
"1717","1569868_s_at","EME2","197342"
"1718","218834_s_at","TMEM132A","54972"
"1719","217979_at","TSPAN13","27075"
"1720","203429_s_at","SUCO","51430"
"1722","203845_at","KAT2B","8850"
"1723","226032_at","CASP2","835"
"1724","219105_x_at","ORC6","23594"
"1725","241455_at","C6orf132","647024"
"1726","225786_at","HNRNPU","3192"
"1728","219825_at","CYP26B1","56603"
"1730","231235_at","NKTR","4820"
"1731","225418_at","NECTIN2","5819"
"1734","201013_s_at","PAICS","10606"
"1736","46665_at","SEMA4C","54910"
"1741","230175_s_at","ST3GAL6","10402"
"1743","227629_at","PRLR","5618"
"1745","213791_at","PENK","5179"
"1746","203961_at","NEBL","10529"
"1747","212494_at","TNS2","23371"
"1748","225590_at","SH3RF1","57630"
"1749","238577_s_at","TSHZ2","128553"
"1750","230229_at","DLG1","1739"
"1751","236816_at","NAA25","80018"
"1753","212230_at","PLPP3","8613"
"1755","226425_at","CLIP4","79745"
"1757","205771_s_at","AKAP7","9465"
"1758","238070_at","CHD1L","9557"
"1759","231311_at","SPTBN2","6712"
"1761","223895_s_at","EPN3","55040"
"1762","218755_at","KIF20A","10112"
"1764","201896_s_at","PSRC1","84722"
"1765","226143_at","RAI1","10743"
"1767","241762_at","FBXO32","114907"
"1768","227641_at","FBXL16","146330"
"1769","203276_at","LMNB1","4001"
"1770","212977_at","ACKR3","57007"
"1771","202705_at","CCNB2","9133"
"1772","212281_s_at","TMEM97","27346"
"1774","201861_s_at","LRRFIP1","9208"
"1775","233011_at","ANXA1","301"
"1778","209822_s_at","VLDLR","7436"
"1779","229691_at","ZBTB42","100128927"
"1781","202942_at","ETFB","2109"
"1783","228323_at","KNL1","57082"
"1784","219025_at","CD248","57124"
"1785","229504_at","RAB23","51715"
"1786","220602_s_at","GOLGA2P10","80154"
"1787","220602_s_at","GOLGA2P7","388152"
"1788","220602_s_at","LOC727751","727751"
"1789","220602_s_at","LOC102724135","102724135"
"1790","202447_at","DECR1","1666"
"1791","222396_at","JPT1","51155"
"1793","204825_at","MELK","9833"
"1795","204798_at","MYB","4602"
"1796","33132_at","CPSF1","29894"
"1797","202935_s_at","SOX9","6662"
"1802","206702_at","TEK","7010"
"1803","208451_s_at","C4A","720"
"1804","208451_s_at","C4B","721"
"1805","208451_s_at","C4B_2","100293534"
"1806","213661_at","PAMR1","25891"
"1808","231991_at","CCM2L","140706"
"1809","225485_at","CEP41","95681"
"1810","230408_at","PCGF3","10336"
"1811","200878_at","EPAS1","2034"
"1812","229599_at","SMIM22","440335"
"1814","218440_at","MCCC1","56922"
"1815","232510_s_at","DPP3","10072"
"1817","213413_at","STON1","11037"
"1819","228879_at","SNORD104","692227"
"1820","228879_at","SNHG25","105376843"
"1821","235112_at","KIAA1958","158405"
"1822","1556277_a_at","TENT2","167153"
"1825","204482_at","CLDN5","7122"
"1827","201702_s_at","PPP1R10","5514"
"1830","226796_at","ABHD15","116236"
"1832","225898_at","WDR54","84058"
"1834","232238_at","ASPM","259266"
"1835","213703_at","LINC00342","150759"
"1839","235938_at","ARMC9","80210"
"1841","228434_at","BTNL9","153579"
"1842","213627_at","MAGED2","10916"
"1843","225016_at","APCDD1","147495"
"1844","212646_at","RFTN1","23180"
"1845","214012_at","ERAP1","51752"
"1846","208131_s_at","PTGIS","5740"
"1849","200770_s_at","LAMC1","3915"
"1852","203717_at","DPP4","1803"
"1853","230550_at","MS4A6A","64231"
"1857","229657_at","THRB","7068"
"1858","210135_s_at","SHOX2","6474"
"1859","207233_s_at","MITF","4286"
"1861","238412_at","RRN3P3","100131998"
"1862","226659_at","DEF6","50619"
"1863","243618_s_at","ZNF827","152485"
"1865","212556_at","SCRIB","23513"
"1866","219450_at","PGCKA1","55286"
"1868","231106_at","BMS1P2","642826"
"1870","219583_s_at","SPATA7","55812"
"1871","213006_at","CEBPD","1052"
"1872","205713_s_at","COMP","1311"
"1875","224596_at","SLC44A1","23446"
"1877","212599_at","AUTS2","26053"
"1879","219134_at","ADGRL4","64123"
"1880","230792_at","FAAH2","158584"
"1881","208613_s_at","FLNB","2317"
"1882","227911_at","ARHGAP28","79822"
"1883","212653_s_at","EHBP1","23301"
"1885","206167_s_at","ARHGAP6","395"
"1887","222606_at","ZWILCH","55055"
"1888","213110_s_at","COL4A5","1287"
"1889","222077_s_at","RACGAP1","29127"
"1890","209581_at","PLAAT3","11145"
"1893","213653_at","METTL3","56339"
"1894","218394_at","ROGDI","79641"
"1895","201189_s_at","ITPR3","3710"
"1896","204303_s_at","CTIF","9811"
"1897","216682_s_at","SUPT20H","55578"
"1898","218689_at","FANCF","2188"
"1899","215123_at","NPIPB3","23117"
"1900","215123_at","NPIPB4","440345"
"1901","215123_at","NPIPA3","642778"
"1902","215123_at","NPIPA2","642799"
"1903","215123_at","NPIPB11","728888"
"1904","215123_at","NPIPB5","100132247"
"1905","204537_s_at","GABRE","2564"
"1906","221963_x_at","ZNF587B","100293516"
"1907","226899_at","UNC5B","219699"
"1908","222040_at","HNRNPA1","3178"
"1909","230730_at","SGCD","6444"
"1910","204005_s_at","PAWR","5074"
"1912","202800_at","SLC1A3","6507"
"1913","223206_s_at","NMRAL1","57407"
"1914","213520_at","RECQL4","9401"
"1915","238444_at","ZNF618","114991"
"1917","219874_at","SLC12A8","84561"
"1918","227420_at","TNFAIP8L1","126282"
"1919","235266_at","ATAD2","29028"
"1920","210694_s_at","ZNF514","84874"
"1925","244766_at","SMG1","23049"
"1927","244766_at","SMG1P2","440354"
"1928","244766_at","SMG1P5","595101"
"1929","244766_at","SMG1P1","641298"
"1931","244766_at","SMG1P3","100271836"
"1932","244766_at","SMG1P7","100506060"
"1933","224764_at","ARHGAP21","57584"
"1934","219296_at","ZDHHC13","54503"
"1935","226280_at","BNIP2","663"
"1937","227713_at","KATNAL1","84056"
"1939","202768_at","FOSB","2354"
"1943","203755_at","BUB1B","701"
"1944","203064_s_at","FOXK2","3607"
"1947","207711_at","MTCL2","140710"
"1950","209911_x_at","H2BC5","3017"
"1951","232030_at","EPG5","57724"
"1954","1557961_s_at","C8orf88","100127983"
"1955","210644_s_at","LAIR1","3903"
"1956","1558290_a_at","PVT1","5820"
"1958","235165_at","PARD6B","84612"
"1959","225810_at","MTMR10","54893"
"1960","223681_s_at","PATJ","10207"
"1961","207761_s_at","TMT1A","25840"
"1962","220954_s_at","PILRB","29990"
"1963","220954_s_at","STAG3L5P-PVRIG2P-PILRB","101752399"
"1964","202747_s_at","ITM2A","9452"
"1965","1559496_at","PPA2","27068"
"1967","1552536_at","VTI1A","143187"
"1968","1555372_at","BCL2L11","10018"
"1970","205259_at","NR3C2","4306"
"1972","231899_at","ZC3H12C","85463"
"1974","202719_s_at","TES","26136"
"1976","220477_s_at","TMEM230","29058"
"1978","204759_at","RCBTB2","1102"
"1979","218966_at","MYO5C","55930"
"1980","229802_at","CCN4","8840"
"1981","220147_s_at","SINHCAF","58516"
"1983","221031_s_at","APOLD1","81575"
"1984","205286_at","TFAP2C","7022"
"1985","228273_at","PRR11","55771"
"1986","223605_at","SLC25A18","83733"
"1988","203799_at","CD302","9936"
"1989","203799_at","LY75-CD302","100526664"
"1990","209408_at","KIF2C","11004"
"1991","230560_at","STXBP6","29091"
"1994","213947_s_at","NUP210","23225"
"1995","231040_at","RORB","6096"
"1996","225972_at","TMEM64","169200"
"1997","205752_s_at","GSTM5","2949"
"1998","205207_at","IL6","3569"
"1999","219562_at","RAB26","25837"
"2000","1553292_s_at","RSKR","124923"
"2001","206833_s_at","ACYP2","98"
"2004","1557289_s_at","GTF2IRD2","84163"
"2005","1557289_s_at","GTF2IRD2B","389524"
"2006","227059_at","GPC6","10082"
"2009","235199_at","RNF125","54941"
"2010","225575_at","LIFR","3977"
"2011","225093_at","UTRN","7402"
"2013","235217_at","LINC01004","100216546"
"2014","225314_at","OCIAD2","132299"
"2015","231406_at","ORAI2","80228"
"2016","205542_at","STEAP1","26872"
"2017","207980_s_at","CITED2","10370"
"2018","209732_at","CLEC2B","9976"
"2019","207165_at","HMMR","3161"
"2020","209687_at","CXCL12","6387"
"2021","230389_at","FNBP1","23048"
"2022","219127_at","PRR15L","79170"
"2024","223471_at","RAB3IP","117177"
"2025","217716_s_at","SEC61A1","29927"
"2026","227074_at","CCDC18-AS1","100131564"
"2028","218750_at","TAF1D","79101"
"2030","212070_at","ADGRG1","9289"
"2033","201664_at","SMC4","10051"
"2034","244881_at","LMLN","89782"
"2036","203147_s_at","TRIM14","9830"
"2038","201693_s_at","EGR1","1958"
"2040","36545_s_at","SFI1","9814"
"2041","201279_s_at","DAB2","1601"
"2046","229553_at","PGM2L1","283209"
"2047","229513_at","STRBP","55342"
"2048","1557948_at","PHLDB3","653583"
"2051","201349_at","NHERF1","9368"
"2053","227334_at","USP54","159195"
"2054","228698_at","SOX7","83595"
"2055","204822_at","TTK","7272"
"2056","229396_at","OVOL1","5017"
"2057","226726_at","MBOAT2","129642"
"2060","205193_at","MAFF","23764"
"2061","218305_at","IPO4","79711"
"2062","203860_at","PCCA","5095"
"2063","220192_x_at","SPDEF","25803"
"2066","224932_at","CHCHD10","400916"
"2068","225656_at","EFHC1","114327"
"2069","238295_at","TEFM","79736"
"2071","209238_at","STX3","6809"
"2072","226248_s_at","ELAPOR1","57535"
"2073","223915_at","BCOR","54880"
"2076","226350_at","CHML","1122"
"2077","222587_s_at","GALNT7","51809"
"2078","209184_s_at","IRS2","8660"
"2079","1553994_at","NT5E","4907"
"2080","204146_at","RAD51AP1","10635"
"2081","227064_at","ANKRD40","91369"
"2082","201584_s_at","DDX39A","10212"
"2084","224730_at","DCAF7","10238"
"2085","205780_at","BIK","638"
"2086","44040_at","FBXO41","150726"
"2087","224476_s_at","MESP1","55897"
"2088","226535_at","ITGB6","3694"
"2089","226535_at","LINC02478","100505984"
"2090","228320_x_at","BICDL1","92558"
"2091","228549_at","TMEM63A","9725"
"2092","226001_at","KLHL5","51088"
"2093","203509_at","SORL1","6653"
"2095","228057_at","DDIT4L","115265"
"2097","226028_at","ROBO4","54538"
"2098","202329_at","CSK","1445"
"2099","217741_s_at","ZFAND5","7763"
"2100","37028_at","PPP1R15A","23645"
"2103","204167_at","BTD","686"
"2104","202586_at","POLR2L","5441"
"2105","218667_at","PJA1","64219"
"2106","243683_at","MORF4L2","9643"
"2107","212680_x_at","PPP1R14B","26472"
"2108","221880_s_at","FAM174B","400451"
"2109","206632_s_at","APOBEC3B","9582"
"2110","209095_at","DLD","1738"
"2111","207621_s_at","PEMT","10400"
"2112","217989_at","HSD17B11","51170"
"2114","225426_at","PPP6C","5537"
"2115","235496_at","HRCT1","646962"
"2116","203881_s_at","DMD","1756"
"2117","229694_at","WDR11","55717"
"2118","232865_at","AFF4","27125"
"2119","235148_at","KRTCAP3","200634"
"2120","204179_at","MB","4151"
"2123","204667_at","FOXA1","3169"
"2124","211458_s_at","GABARAPL3","23766"
"2126","221795_at","NTRK2","4915"
"2127","213429_at","BICC1","80114"
"2128","204037_at","LPAR1","1902"
"2129","213359_at","HNRNPD","3184"
"2131","209568_s_at","RGL1","23179"
"2132","223165_s_at","IP6K2","51447"
"2136","222830_at","GRHL1","29841"
"2137","230742_at","RBM5","10181"
"2138","225645_at","EHF","26298"
"2139","210239_at","IRX5","10265"
"2140","230360_at","GLDN","342035"
"2141","223339_at","ATP5IF1","93974"
"2144","242492_at","CLNS1A","1207"
"2145","1557828_a_at","TMEM267","64417"
"2146","208436_s_at","IRF7","3665"
"2149","242056_at","TRIM45","80263"
"2150","219371_s_at","KLF2","10365"
"2151","218542_at","CEP55","55165"
"2153","227698_s_at","RAB40C","57799"
"2154","218499_at","STK26","51765"
"2155","225008_at","ASPH","444"
"2158","225031_at","CHD6","84181"
"2159","211813_x_at","DCN","1634"
"2161","1558199_at","FN1","2335"
"2162","209539_at","ARHGEF6","9459"
"2163","208470_s_at","HPR","3250"
"2164","208470_s_at","HP","3240"
"2165","218741_at","CENPM","79019"
"2168","213943_at","TWIST1","7291"
"2173","1568658_at","C2orf74","339804"
"2174","230372_at","HAS2","3037"
"2176","201106_at","GPX4","2879"
"2177","218543_s_at","PARP12","64761"
"2178","225802_at","TOP1MT","116447"
"2179","226711_at","FOXN2","3344"
"2180","219543_at","PBLD","64081"
"2181","215066_at","PTPRF","5792"
"2184","225793_at","LIX1L","128077"
"2186","205109_s_at","ARHGEF4","50649"
"2189","1554547_at","FAM13C","220965"
"2190","213285_at","CDC50B","161291"
"2191","203108_at","GPRC5A","9052"
"2192","238617_at","KIF26B","55083"
"2195","201708_s_at","NIPSNAP1","8508"
"2196","209006_s_at","RSRP1","57035"
"2198","236700_at","EIF3C","8663"
