"","PROBEID","SYMBOL","ENTREZID"
"225","204018_x_at","HBA2","3040"
"226","221163_s_at","MLXIPL","51085"
"227","201035_s_at","HADH","3033"
"228","212701_at","TLN2","83660"
"231","225846_at","ESRP1","54845"
"232","203414_at","MMD","23531"
"233","237390_at","ADRA1A","148"
"234","205204_at","NMB","4828"
"235","225977_at","PCDH18","54510"
"239","210746_s_at","EPB42","2038"
"240","205295_at","CKMT2","1160"
"241","221697_at","MAP1LC3C","440738"
"243","203859_s_at","PALM","5064"
"246","243703_x_at","LIPE-AS1","100996307"
"247","243703_x_at","LOC101930071","101930071"
"248","213593_s_at","TRA2A","29896"
"249","223620_at","GPR34","2857"
"251","214449_s_at","RHOQ","23433"
"252","235978_at","FABP4","2167"
"254","213706_at","COX14","84987"
"255","32625_at","NPR1","4881"
"256","211432_s_at","TYRO3","7301"
"258","235051_at","CCDC50","152137"
"259","235279_at","PARVA","55742"
"260","214889_at","FAM149A","25854"
"262","214293_at","SEPTIN11","55752"
"263","235316_at","NAT8L","339983"
"264","201418_s_at","SOX4","6659"
"267","226129_at","SACK1H","286077"
"271","227791_at","SLC9A9","285195"
"272","204154_at","CDO1","1036"
"273","219140_s_at","RBP4","5950"
"276","220437_at","ANGPTL8","55908"
"278","228495_at","GPATCH11","253635"
"281","1558212_at","VLDLR-AS1","401491"
"282","236132_at","TLN1","7094"
"283","215436_at","HSDL2","84263"
"284","232267_at","ADGRD1","283383"
"285","223828_s_at","LGALS12","85329"
"286","229086_at","ZNF436-AS1","148898"
"287","227704_at","C19orf12","83636"
"288","225926_at","VTI1B","10490"
"289","235593_at","ZEB2","9839"
"290","228770_at","GPR146","115330"
"291","229404_at","TWIST2","117581"
"292","1554485_s_at","TMEM37","140738"
"293","215119_at","MYO16","23026"
"296","1554371_at","PKD1L2","114780"
"302","235471_at","VSTM4","196740"
"303","209789_at","CORO2B","10391"
"304","1568779_a_at","ECM2","1842"
"305","1553102_a_at","CCDC69","26112"
"306","225420_at","GPAM","57678"
"307","220141_at","JHY","79864"
"309","227086_at","C22orf39","128977"
"310","228875_at","FAM162B","221303"
"311","213247_at","SVEP1","79987"
"312","219398_at","CIDEC","63924"
"313","207583_at","ABCD2","225"
"314","229309_at","ADRB1","153"
"315","241114_s_at","ACAA2","10449"
"316","219569_s_at","SLC35G2","80723"
"319","225655_at","UHRF1","29128"
"320","1557938_s_at","CAVIN1","284119"
"322","202920_at","ANK2","287"
"323","238835_at","AVPR1A","552"
"324","206701_x_at","EDNRB","1910"
"325","1553961_s_at","SNX21","90203"
"326","239071_at","RBBP4","5928"
"328","208794_s_at","SMARCA4","6597"
"329","218865_at","MTARC1","64757"
