"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"220061_at",-3.61375752206278,3.62321833866942,-18.7053306210297,2.22953041235724e-37,6.41576712082274e-34,74.4425957741961
"204997_at",-5.37890761199378,3.27606224777686,-18.6570083018269,2.81086896282868e-37,7.40667252702515e-34,74.2145150744499
"206262_at",-4.59624949013744,3.25789273910744,-18.6545066178719,2.84481249323325e-37,7.40667252702515e-34,74.2026988174955
"206030_at",-4.680777807681,3.17096029665289,-18.5469230411182,4.7704981369385e-37,1.14110048688767e-33,73.693770133685
"230282_at",-2.24034958462217,2.72619480572727,-18.5451657036029,4.81101049765533e-37,1.14110048688767e-33,73.6854443715997
"243879_at",-3.58665965451301,3.13142328821488,-18.5367882169019,5.0089458958032e-37,1.14110048688767e-33,73.6457486703506
"1563182_at",-4.83035759268721,4.46505912516529,-18.4968328068714,6.07171607025434e-37,1.32788430456462e-33,73.4562982019871
"1552519_at",-5.83013652149435,3.44225464800826,-18.455631471769,7.40583999046176e-37,1.55736269799422e-33,73.260720918894
"1555741_at",-2.80764902636369,2.73662678339669,-18.4098900413966,9.2353231737668e-37,1.87015294268778e-33,73.043331768102
"236383_at",-2.8061477910034,2.88833316715702,-18.2750956339786,1.77280525602482e-36,3.46171883475561e-33,72.4011184777874
"206068_s_at",-3.61965097822681,2.98860108827273,-18.2647977479004,1.86353858504575e-36,3.51341283232333e-33,72.3519575001263
"220736_at",-4.51392137293212,3.02106040386777,-18.1730317231339,2.90914790743502e-36,5.30192206130033e-33,71.9132638355744
"220327_at",-3.53736253410294,3.24145003709091,-18.1281702513024,3.61821617448385e-36,6.38148288193241e-33,71.698399760185
"203295_s_at",-2.41720882546946,2.72662696445455,-18.0731437004329,4.72975241428193e-36,8.08122541408951e-33,71.4344908715987
"239220_at",-3.60988616867873,3.55887075742975,-17.9624567385957,8.1165077794916e-36,1.34475776619304e-32,70.902435578808
"235708_at",-4.87366573355826,3.14128790842149,-17.9533112910184,8.48744958561077e-36,1.36485678262726e-32,70.8584033172862
"214040_s_at",-2.31259482118099,3.12692081342975,-17.9113079026296,1.0422537300351e-35,1.62814921970482e-32,70.6560310457038
"218934_s_at",-3.60560148502489,2.89090405673554,-17.8505790038845,1.40315281977013e-35,2.13103834502589e-32,70.3630328244043
"238003_at",-4.63872265112726,3.36938450319835,-17.7277048251299,2.56446317902632e-35,3.78951417062875e-32,69.7687347311804
"1558820_a_at",-2.17918153541629,3.07765686007438,-17.7046938921386,2.87166101485605e-35,4.1317912101909e-32,69.6572209561639
"230309_at",-4.41399582168212,3.39014909408264,-17.6510106393183,3.74006150922836e-35,5.24327853889899e-32,69.3967981162373
"230670_at",-2.31945432211878,2.95353248279339,-17.6279493710918,4.19005223390927e-35,5.72727764722474e-32,69.2848107729195
"206209_s_at",-3.81191481538009,2.9575600382314,-17.6158799924865,4.44686563714532e-35,5.93005801733952e-32,69.2261734235576
"229480_at",-3.84014655264876,3.0954742448595,-17.5734547557373,5.48186618117452e-35,7.13621508227897e-32,69.0199066558405
"208383_s_at",-6.17612779389762,3.85453379213223,-17.4835960175766,8.54532151650276e-35,1.08654756724369e-31,68.5822539592222
"241866_at",-3.59916580513744,3.81413986154545,-17.4569433352798,9.74986372369402e-35,1.21153136157493e-31,68.4522425408094
"213325_at",-2.29162043802206,2.87110791766116,-17.4460081717876,1.02921644967293e-34,1.25049798635261e-31,68.3988744107037
"205208_at",-3.34675054348077,3.38799598633058,-17.43886695599,1.06625787591419e-34,1.26734020360018e-31,68.3640139816283
"1558420_at",-4.46789949829751,3.18195381928926,-17.431973651137,1.10328404227181e-34,1.28344797896194e-31,68.3303575038046
"239345_at",-5.19967506404016,3.55853390478512,-17.420340339593,1.1687250847631e-34,1.33125091686297e-31,68.2735440878578
"210807_s_at",-3.67960707253903,3.19773912669422,-17.4095906187342,1.23265966577649e-34,1.37542178012917e-31,68.221030321215
"231683_at",-3.13536867306278,2.88718729219835,-17.3816077087704,1.41607121662646e-34,1.54847387538103e-31,68.0842602934427
"1556056_at",-2.81629783543439,2.76140168543802,-17.3575013308061,1.59593651838131e-34,1.70227603521768e-31,67.9663563457465
"210963_s_at",-3.79424013389649,2.94026049035537,-17.3543567857218,1.6210334876591e-34,1.70227603521768e-31,67.9509708984088
"206742_at",-4.04087666820079,3.08004860478512,-17.3507723031211,1.65012583203543e-34,1.70227603521768e-31,67.9334313963093
"205609_at",-4.36718638875113,3.86725045470248,-17.3018426903711,2.10395778348226e-34,2.13025725577579e-31,67.6938447446877
"210298_x_at",-5.46231092192421,3.30265242613223,-17.2660983249955,2.51306681943834e-34,2.49821687914166e-31,67.5186256503643
"201539_s_at",-5.63722991083371,3.40805612865289,-17.2146547828107,3.24626977464768e-34,3.16946071301539e-31,67.2661608259885
"1553243_at",-3.86820088589367,3.4952809537438,-17.160414318795,4.25367907103686e-34,4.08017374050772e-31,66.9996018652851
"202884_s_at",-3.70878169572059,3.27704179645455,-17.1407717863012,4.69149937264949e-34,4.42254703792433e-31,66.9029777024607
"231790_at",-2.65922835244513,2.75544055617355,-17.0804462073342,6.34031104853246e-34,5.8755340098053e-31,66.6059195094588
"207537_at",-3.66911326468439,3.03576314296694,-17.0430883756426,7.64202797606194e-34,6.96379799318644e-31,66.4217268797707
"210106_at",-4.51047714802375,4.42142533617355,-17.0052382743934,9.2353173516455e-34,8.27772092133144e-31,66.2349253503547
"220037_s_at",-2.63020441390837,2.70969051886777,-16.9515955974915,1.20820853559371e-33,1.06546454328365e-30,65.9698698090614
"244276_at",-5.43018024749208,3.71474297510744,-16.9310334178193,1.33940574548951e-33,1.16241284340697e-30,65.8681721992857
"239183_at",-1.96647201557692,2.59804213369421,-16.8553465790069,1.95839778625279e-33,1.67305310880268e-30,65.4933727750184
"228540_at",-2.24970002177432,2.8325405567686,-16.8444876619741,2.06822243149089e-33,1.73969325295022e-30,65.4395400083467
"228082_at",-2.92344100538858,3.01962364423967,-16.7862192937707,2.77241351068136e-33,2.29669255600763e-30,65.1504209799092
"1558552_s_at",-2.30825414772116,2.70438434279339,-16.722328512468,3.8247789734326e-33,3.121190901081e-30,64.8329105537493
"220868_s_at",-2.67589891332749,2.74226314309091,-16.5388222921302,9.6648397758309e-33,7.77095756975815e-30,63.9181008367373
"237017_s_at",-2.99707966400848,2.81376072709917,-16.4666362236641,1.39331453161233e-32,1.10405031907108e-29,63.5570832656233
"233346_at",-2.47287352490441,2.68314899938843,-16.4226276360679,1.74192788438118e-32,1.36057010112201e-29,63.3366678478891
"237154_at",-5.50893036188405,3.5766588232562,-16.3971819389522,1.98221543028125e-32,1.5264454739525e-29,63.2091138885566
"227529_s_at",-4.58814346698699,3.29550497667769,-16.3858983413166,2.09917084066348e-32,1.59405785712883e-29,63.1525257864504
"1554044_a_at",-4.9611667182862,3.31764262282645,-16.3813811928509,2.14791263970999e-32,1.60872772022115e-29,63.1298675047258
"238062_at",-2.78897867001697,2.83029133929752,-16.3701914241686,2.27360887211106e-32,1.67985898760368e-29,63.073728045222
"228368_at",-3.79393424573925,3.03392830431405,-16.3624854592964,2.36444339559478e-32,1.7236792353886e-29,63.0350579047349
"239811_at",2.76311877401075,7.11635735804959,16.3273374208603,2.82727395287929e-32,2.0339632022852e-29,62.8585842190533
"230246_at",-2.6768819232172,2.93826529979339,-16.3054429833316,3.16055576588682e-32,2.24419982467353e-29,62.7485776892198
"241925_x_at",-3.4671208940345,2.87234295792562,-16.3013578472985,3.22697821004414e-32,2.2619876106944e-29,62.7280457364587
